timestamp,price,action,soc_mwh,soh,cycles_used,step_cash,cumulative_profit
2025-01-01T00:00:00.0,17.9,idle,1000.0,1.0,0.0,0.0,0.0
2025-01-01T00:15:00.0,17.98,idle,1000.0,1.0,0.0,0.0,0.0
2025-01-01T00:30:00.0,18.21,idle,1000.0,1.0,0.0,0.0,0.0
2025-01-01T00:45:00.0,18.22,idle,1000.0,1.0,0.0,0.0,0.0
2025-01-01T01:00:00.0,17.97,idle,1000.0,1.0,0.0,0.0,0.0
2025-01-01T01:15:00.0,18.06,idle,1000.0,1.0,0.0,0.0,0.0
2025-01-01T01:30:00.0,17.36,discharge,937.5,0.9999993578767123,0.03125,1050.2665495006493,1050.2665495006493
2025-01-01T01:45:00.0,17.36,discharge,875.0,0.9999987157534247,0.0625,1050.2665495006493,2100.5330990012985
2025-01-01T02:00:00.0,17.3,discharge,812.5,0.999998073630137,0.09375,1046.6365959885504,3147.1696949898487
2025-01-01T02:15:00.0,17.13,discharge,750.0,0.9999974315068494,0.125,1036.3517277042697,4183.521422694119
2025-01-01T02:30:00.0,16.99,discharge,687.5,0.9999967893835617,0.15625,1027.8818361760386,5211.4032588701575
2025-01-01T02:45:00.0,16.96,idle,687.5,0.9999967893835617,0.15625,0.0,5211.4032588701575
2025-01-01T03:00:00.0,17.75,charge,747.9992252016503,0.9999961678161795,0.18649961260082515,-1109.375,4102.0282588701575
2025-01-01T03:15:00.0,17.34,discharge,685.4992252016503,0.9999955256928919,0.21774961260082515,1049.0565649966163,5151.084823866774
2025-01-01T03:30:00.0,17.5,charge,745.9984504033007,0.9999949041255096,0.2479992252016503,-1093.75,4057.334823866774
2025-01-01T03:45:00.0,16.95,discharge,683.4984504033007,0.999994262002222,0.2792492252016503,1025.4618671679727,5082.796691034747
2025-01-01T04:00:00.0,17.08,idle,683.4984504033007,0.999994262002222,0.2792492252016503,0.0,5082.796691034747
2025-01-01T04:15:00.0,17.71,charge,743.997675604951,0.9999936404348397,0.30949883780247545,-1106.875,3975.921691034747
2025-01-01T04:30:00.0,20.24,discharge,681.497675604951,0.9999929983115521,0.34074883780247545,1224.5043180814023,5200.426009116149
2025-01-01T04:45:00.0,21.01,charge,741.9969008066014,0.9999923767441699,0.3709984504033006,-1313.125,3887.3010091161486
2025-01-01T05:00:00.0,20.5,discharge,679.4969008066014,0.9999917346208822,0.4022484504033006,1240.2341166338315,5127.535125749981
2025-01-01T05:15:00.0,20.6,discharge,616.9969008066014,0.9999910924975945,0.4334984504033006,1246.2840391539964,6373.819164903977
2025-01-01T05:30:00.0,21.85,idle,616.9969008066014,0.9999910924975945,0.4334984504033006,0.0,6373.819164903977
2025-01-01T05:45:00.0,20.81,charge,677.4961260082517,0.9999904709302123,0.46374806300412574,-1300.625,5073.194164903977
2025-01-01T06:00:00.0,20.69,charge,737.9953512099021,0.9999898493628301,0.4939976756049509,-1293.125,3780.0691649039773
2025-01-01T06:15:00.0,20.48,discharge,675.4953512099021,0.9999892072395424,0.5252476756049509,1239.0241321297983,5019.093297033775
2025-01-01T06:30:00.0,21.12,charge,735.9945764115524,0.9999885856721602,0.555497288205776,-1320.0,3699.0932970337753
2025-01-01T06:45:00.0,22.47,discharge,673.4945764115524,0.9999879435488725,0.586747288205776,1359.4175902810825,5058.510887314858
2025-01-01T07:00:00.0,22.07,discharge,610.9945764115524,0.9999873014255849,0.617997288205776,1335.2179002004225,6393.728787515281
2025-01-01T07:15:00.0,23.07,idle,610.9945764115524,0.9999873014255849,0.617997288205776,0.0,6393.728787515281
2025-01-01T07:30:00.0,23.86,idle,610.9945764115524,0.9999873014255849,0.617997288205776,0.0,6393.728787515281
2025-01-01T07:45:00.0,23.56,idle,610.9945764115524,0.9999873014255849,0.617997288205776,0.0,6393.728787515281
2025-01-01T08:00:00.0,23.49,idle,610.9945764115524,0.9999873014255849,0.617997288205776,0.0,6393.728787515281
2025-01-01T08:15:00.0,21.6,idle,610.9945764115524,0.9999873014255849,0.617997288205776,0.0,6393.728787515281
2025-01-01T08:30:00.0,15.49,idle,610.9945764115524,0.9999873014255849,0.617997288205776,0.0,6393.728787515281
2025-01-01T08:45:00.0,14.74,charge,671.4938016132028,0.9999866798582027,0.6482469008066012,-921.25,5472.478787515281
2025-01-01T09:00:00.0,14.78,idle,671.4938016132028,0.9999866798582027,0.6482469008066012,0.0,5472.478787515281
2025-01-01T09:15:00.0,14.06,idle,671.4938016132028,0.9999866798582027,0.6482469008066012,0.0,5472.478787515281
2025-01-01T09:30:00.0,11.48,discharge,608.9938016132028,0.999986037734915,0.6794969008066012,694.5311053149456,6167.009892830226
2025-01-01T09:45:00.0,9.49,charge,669.4930268148531,0.9999854161675328,0.7097465134074263,-593.125,5573.884892830226
2025-01-01T10:00:00.0,8.09,discharge,606.9930268148531,0.9999847740442451,0.7409965134074263,489.43873188135103,6063.3236247115765
2025-01-01T10:15:00.0,9.39,charge,667.4922520165035,0.9999841524768629,0.7712461260082515,-586.875,5476.4486247115765
2025-01-01T10:30:00.0,9.94,discharge,604.9922520165035,0.9999835103535752,0.8024961260082515,601.3622985044041,6077.81092321598
2025-01-01T10:45:00.0,11.02,charge,665.4914772181538,0.999982888786193,0.8327457386090766,-688.75,5389.06092321598
2025-01-01T11:00:00.0,13.29,charge,725.9907024198042,0.9999822672188108,0.8629953512099018,-830.625,4558.43592321598
2025-01-01T11:15:00.0,14.1,idle,725.9907024198042,0.9999822672188108,0.8629953512099018,0.0,4558.43592321598
2025-01-01T11:30:00.0,14.31,idle,725.9907024198042,0.9999822672188108,0.8629953512099018,0.0,4558.43592321598
2025-01-01T11:45:00.0,14.99,idle,725.9907024198042,0.9999822672188108,0.8629953512099018,0.0,4558.43592321598
2025-01-01T12:00:00.0,15.5,charge,786.4899276214545,0.9999816456514286,0.8932449638107269,-968.75,3589.6859232159804
2025-01-01T12:15:00.0,15.7,discharge,723.9899276214545,0.9999810035281409,0.9244949638107269,949.8378356659099,4539.52375888189
2025-01-01T12:30:00.0,15.17,idle,723.9899276214545,0.9999810035281409,0.9244949638107269,0.0,4539.52375888189
2025-01-01T12:45:00.0,14.89,idle,723.9899276214545,0.9999810035281409,0.9244949638107269,0.0,4539.52375888189
